Stn Id,Stn Name,CIMIS Region,Date,Jul,ETo (in),qc,Precip (in),qc,Sol Rad (Ly/day),qc,Avg Vap Pres (mBars),qc,Max Air Temp (F),qc,Min Air Temp (F),qc,Avg Air Temp (F),qc,Max Rel Hum (%),qc,Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Dew Point (F),qc,Avg Wind Speed (mph),qc,Wind Run (miles),qc,Avg Soil Temp (F),qc
192,Silverwood Lake,San Bernardino,2004-03-20,80,0.18, ,0, ,568,R,6.3, ,78.3, ,32.3, ,53.5, ,93, ,14, ,45, ,32.7, ,2.8, ,66.1, ,45.4, 
192,Silverwood Lake,San Bernardino,2004-03-21,81,0.18, ,0, ,565, ,6.3, ,80.1, ,32, ,54.5, ,86, ,15, ,43, ,32.6, ,2.8, ,67.5, ,46.4, 
192,Silverwood Lake,San Bernardino,2004-03-22,82,0.21, ,0, ,564, ,5.7, ,76.4, ,33.4, ,56.6, ,91, ,14, ,36, ,30.2, ,5.1, ,123, ,47, 
192,Silverwood Lake,San Bernardino,2004-03-23,83,0.16, ,0, ,500, ,7.8, ,63.8, ,34.7, ,53.2, ,88, ,36, ,57, ,38.2, ,5.5, ,131.9, ,47.9, 
192,Silverwood Lake,San Bernardino,2004-03-24,84,0.16, ,0, ,532, ,6.2, ,68.6, ,27.7, ,47.9, ,92, ,25, ,55, ,32.5, ,3.3, ,80.4, ,47.5, 
192,Silverwood Lake,San Bernardino,2004-03-25,85,0.16, ,0, ,570, ,6.9, ,67, ,26.4, ,45.9, ,97, ,17, ,65, ,34.9, ,5.1, ,123.5, ,47.1, 
192,Silverwood Lake,San Bernardino,2004-03-26,86,0.12, ,0, ,500, ,8.2, ,55.8, ,34.7, ,43.8, ,100, ,61, ,85, ,39.5, ,4.8, ,114.5, ,48, 
192,Silverwood Lake,San Bernardino,2004-03-27,87,0.17, ,0, ,579, ,5.1, ,63.7, ,30.7, ,47.2, ,81, ,25, ,46, ,27.4, ,5, ,121.1, ,47.7, 
192,Silverwood Lake,San Bernardino,2004-03-28,88,0.2, ,0, ,592, ,4, ,66.3, ,28.1, ,46.8, ,85, ,16, ,37, ,21.9, ,5.7, ,136.3, ,46.9, 
192,Silverwood Lake,San Bernardino,2004-03-29,89,0.18,R,0, ,572, ,4.4, ,76.2, ,25.3,Y,48.6, ,80, ,12, ,38, ,24.3, ,2.8, ,67.1, ,46.6, 
